"","ID","Long","Lat","Year","Month","Origin","Surface","Species","Abundance","Density","bathymetry","substrat","chl_mean","nppv_mean","o2_mean","o2_cv","o2_perc_25","temp_mean","temp_cv","temp_perc_90","sali_mean","sali_cv","sali_tresh_10","sali_perc_90","wave_mean"
"3","1993_1_889_26",-2.658,47.4595,1993,9,"NURSE",0.005277,"Merlangius merlangus",0,0,-9.26594257354736,"6",10.2070541381836,98.5897064208984,111.67113494873,5.54443550109863,107.706871032715,15.9493093490601,9.39767169952393,17.9794044494629,32.7378997802734,5.28708457946777,0,34.7983741760254,"3"
"4","1993_1_886_23",-2.6255,47.4805,1993,9,"NURSE",0.005592,"Merlangius merlangus",0,0,-8.4555549621582,"6",10.40549659729,77.8119277954102,111.133460998535,5.64739465713501,107.114814758301,16.3252792358398,9.19299602508545,18.1636714935303,31.5520820617676,5.25600385665894,0,33.6187744140625,"3"
"5","1993_1_884_21",-2.6128,47.4618,1993,9,"NURSE",0.006063,"Merlangius merlangus",0,0,-7.52666616439819,"6",10.6039390563965,57.0341529846191,110.59578704834,5.75035381317139,106.522758483887,16.7012500762939,8.98832035064697,18.347936630249,30.3662643432617,5.2249231338501,0,32.4391746520996,"3"
"6","1993_1_867_4",-2.5757,47.4838,1993,9,"NURSE",0.006051,"Merlangius merlangus",0,0,-6.54333305358887,"6",10.7031574249268,46.6454925537109,110.326950073242,5.80183219909668,106.226737976074,16.8892307281494,8.88598537445068,18.4400691986084,29.7733669281006,5.20938301086426,0,31.8493881225586,"2"
"10","1993_1_891_28",-2.6637,47.4317,1993,9,"NURSE",0.005556,"Merlangius merlangus",0,0,-12.9799995422363,"6",10.2070541381836,98.5897064208984,111.67113494873,5.54443550109863,107.706871032715,15.9493093490601,9.39767169952393,17.9794044494629,32.7378997802734,5.28708457946777,0,34.7983741760254,"3"
"11","1993_1_890_27",-2.6498,47.4428,1993,9,"NURSE",0.005298,"Merlangius merlangus",0,0,-12.1322221755981,"6",10.40549659729,77.8119277954102,111.133460998535,5.64739465713501,107.114814758301,16.3252792358398,9.19299602508545,18.1636714935303,31.5520820617676,5.25600385665894,0,33.6187744140625,"3"
"12","1993_1_869_6",-2.62,47.4498,1993,9,"NURSE",0.005643,"Merlangius merlangus",0,0,-10.2781944274902,"6",10.6039390563965,57.0341529846191,110.59578704834,5.75035381317139,106.522758483887,16.7012500762939,8.98832035064697,18.347936630249,30.3662643432617,5.2249231338501,0,32.4391746520996,"3"
"13","1993_1_914_51",-2.5875,47.4543,1993,9,"NURSE",0.005454,"Merlangius merlangus",0,0,-8.14999961853027,"2",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"3"
"14","1993_1_882_19",-2.561,47.4493,1993,9,"NURSE",0.005769,"Merlangius merlangus",0,0,-6.98777770996094,"2",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"2"
"16","1993_1_871_8",-2.6548,47.4197,1993,9,"NURSE",0.005745,"Merlangius merlangus",0,0,-15.710000038147,"6",10.2070541381836,98.5897064208984,111.67113494873,5.54443550109863,107.706871032715,15.9493093490601,9.39767169952393,17.9794044494629,32.7378997802734,5.28708457946777,0,34.7983741760254,"3"
"17","1993_1_870_7",-2.6423,47.4285,1993,9,"NURSE",0.005217,"Merlangius merlangus",0,0,-14.3600006103516,"6",10.40549659729,77.8119277954102,111.133460998535,5.64739465713501,107.114814758301,16.3252792358398,9.19299602508545,18.1636714935303,31.5520820617676,5.25600385665894,0,33.6187744140625,"3"
"18","1993_1_903_40",-2.5692,47.4132,1993,9,"NURSE",0.00597,"Merlangius merlangus",0,0,-8.61999988555908,"2",10.6347684860229,41.0866279602051,110.309135437012,5.82670116424561,106.174224853516,16.8864269256592,8.87217330932617,18.3707637786865,29.6188850402832,5.07001924514771,0,31.6261100769043,"3"
"19","1993_1_910_47",-2.5295,47.4145,1993,9,"NURSE",0.005871,"Merlangius merlangus",0,0,-6.42077016830444,"2",10.4671630859375,45.916316986084,110.560150146484,5.8000922203064,106.41771697998,16.6956462860107,8.96069431304932,18.2093296051025,30.0572891235352,4.9461989402771,0,31.9926109313965,"2"
"20","1993_1_873_10",-2.6535,47.3998,1993,9,"NURSE",0.00561,"Merlangius merlangus",0,0,-18.4233341217041,"6",9.48934268951416,111.921195983887,111.204460144043,5.4242525100708,107.384353637695,15.5036811828613,9.57895755767822,17.5002727508545,33.3066482543945,4.4036021232605,0,34.9824447631836,"3"
"21","1993_1_874_11",-2.6477,47.3832,1993,9,"NURSE",0.006054,"Merlangius merlangus",0,0,-16.8766670227051,"6",9.81528663635254,89.9193725585938,110.989685058594,5.54953384399414,107.062141418457,15.9010066986084,9.37286758422852,17.7366275787354,32.223518371582,4.58446979522705,0,33.9858245849609,"3"
"6710","1993_1_875_12",-2.5197,47.509,1993,9,"NURSE",0.006111,"Merlangius merlangus",0,0,-1.60902774333954,"6",10.7031574249268,46.6454925537109,110.326950073242,5.80183219909668,106.226737976074,16.8892307281494,8.88598537445068,18.4400691986084,29.7733669281006,5.20938301086426,0,31.8493881225586,"2"
"6890","1993_1_878_15",-2.5035,47.5127,1993,9,"NURSE",0.005226,"Merlangius merlangus",0,0,-1.18898808956146,"3",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"2"
"6890.1","1993_1_883_20",-2.558,47.4612,1993,9,"NURSE",0.005391,"Merlangius merlangus",0,0,-5.0377779006958,"6",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"2"
"6890.2","1993_1_896_33",-2.5333,47.477,1993,9,"NURSE",0.00567,"Merlangius merlangus",0,0,-3.55039668083191,"6",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"2"
"6890.3","1993_1_879_16",-2.51,47.4743,1993,9,"NURSE",0.005754,"Merlangius merlangus",0,0,-2.63809514045715,"4",10.8023767471313,36.2568321228027,110.058120727539,5.85331058502197,105.930717468262,17.0772113800049,8.78364944458008,18.5321998596191,29.1804714202881,5.19384288787842,0,31.2596015930176,"2"
"7070","1993_1_906_43",-2.5287,47.4397,1993,9,"NURSE",0.005004,"Merlangius merlangus",0,0,-5.70816802978516,"2",10.4671630859375,45.916316986084,110.560150146484,5.8000922203064,106.41771697998,16.6956462860107,8.96069431304932,18.2093296051025,30.0572891235352,4.9461989402771,0,31.9926109313965,"2"
"33","1996_1_948_34",-2.6402,47.4783,1996,9,"NURSE",0.006,"Merlangius merlangus",21,35,-8.4555549621582,"6",9.322096824646,72.530876159668,109.764961242676,6.83536005020142,105.047393798828,15.5897874832153,13.7874746322632,18.6074066162109,31.611888885498,4.17755508422852,0,33.020450592041,"3"
"410","1996_1_924_10",-2.5707,47.465,1996,9,"NURSE",0.00528,"Merlangius merlangus",6,11.3636363636364,-6.54333305358887,"6",9.47556591033936,66.8724517822266,108.840682983398,6.81841897964478,104.350646972656,16.21413230896,13.7573480606079,19.0454044342041,30.1327781677246,5.09825277328491,0,31.7131576538086,"2"
"8","1996_1_947_33",-2.6755,47.4542,1996,9,"NURSE",0.005679,"Merlangius merlangus",24,42.2609614368727,-12.9799995422363,"6",9.21978282928467,76.3031921386719,110.381141662598,6.84665393829346,105.511901855469,15.1735544204712,13.807559967041,18.3154067993164,32.5979690551758,3.56375217437744,0,33.8919830322266,"3"
"9","1996_1_930_16",-2.6208,47.45,1996,9,"NURSE",0.005607,"Merlangius merlangus",30,53.5045478865704,-10.2781944274902,"6",9.42440986633301,68.7585678100586,109.148773193359,6.82406616210938,104.582893371582,16.0060214996338,13.7673902511597,18.8994064331055,30.6258068084717,4.79135799407959,0,32.1489143371582,"3"
"101","1996_1_931_17",-2.5913,47.4482,1996,9,"NURSE",0.005316,"Merlangius merlangus",4,7.52445447705041,-8.14999961853027,"2",9.52672100067139,64.9863357543945,108.532600402832,6.81277227401733,104.11840057373,16.4222450256348,13.7473058700562,19.1914005279541,29.6397476196289,5.40514755249023,0,31.277400970459,"3"
"111","1996_1_916_2",-2.5627,47.4352,1996,9,"NURSE",0.005079,"Merlangius merlangus",0,0,-6.98777770996094,"2",9.52672100067139,64.9863357543945,108.532600402832,6.81277227401733,104.11840057373,16.4222450256348,13.7473058700562,19.1914005279541,29.6397476196289,5.40514755249023,0,31.277400970459,"2"
"131","1996_1_945_31",-2.6492,47.4038,1996,9,"NURSE",0.00501,"Merlangius merlangus",12,23.9520958083832,-14.3600006103516,"6",9.322096824646,72.530876159668,109.764961242676,6.83536005020142,105.047393798828,15.5897874832153,13.7874746322632,18.6074066162109,31.611888885498,4.17755508422852,0,33.020450592041,"3"
"141","1996_1_915_1",-2.5663,47.417,1996,9,"NURSE",0.005439,"Merlangius merlangus",0,0,-8.61999988555908,"2",9.4217643737793,65.5314331054688,108.820541381836,6.84321641921997,104.28239440918,16.2223777770996,13.447473526001,18.9328289031982,30.0526180267334,5.16030073165894,0,31.6368103027344,"3"
"15","1996_1_949_35",-2.6473,47.3942,1996,9,"NURSE",0.005484,"Merlangius merlangus",63,114.879649890591,-16.8766670227051,"6",8.89062404632568,78.553596496582,109.709289550781,6.79617118835449,104.86360168457,15.1537961959839,12.6714496612549,17.8648090362549,32.1984825134277,3.70962762832642,0,33.4579200744629,"3"
"161","1996_1_951_37",-2.6647,47.3677,1996,9,"NURSE",0.005796,"Merlangius merlangus",0,0,-22.1533336639404,"6",8.1352710723877,93.2812271118164,109.638275146484,6.66820001602173,104.632530212402,14.265305519104,11.0591287612915,16.6047458648682,33.5320281982422,2.64965295791626,0,34.4855880737305,"3"
"171","1996_1_950_36",-2.6353,47.3652,1996,9,"NURSE",0.005316,"Merlangius merlangus",1,1.8811136192626,-20.5822219848633,"6",8.45915031433105,84.5763092041016,109.653625488281,6.75698232650757,104.679809570312,14.7178058624268,11.5554237365723,17.1222114562988,32.7850799560547,3.24169993400574,0,33.8953895568848,"3"
"181","1996_1_952_38",-2.6833,47.342,1996,9,"NURSE",0.00528,"Merlangius merlangus",1,1.89393939393939,-27.9599990844727,"2",7.24214744567871,111.141868591309,109.202346801758,6.59602928161621,104.044555664062,13.6971349716187,9.43580532073975,15.5527381896973,34.0599975585938,2.14238905906677,0,34.8293342590332,"3"
"191","1996_4_3535_42",-1.3688,46.3232,1996,9,"NURSE",0.005988,"Merlangius merlangus",0,0,-1.86374998092651,"4",3.29255342483521,121.657913208008,105.221473693848,1.56438815593719,103.795486450195,18.8529815673828,13.2016916275024,21.4874744415283,32.5343780517578,1.83132421970367,0,33.3867492675781,"3"
"201","1996_4_3519_26",-1.5333,46.2935,1996,9,"NURSE",0.00459,"Merlangius merlangus",0,0,-22.8133335113525,"6",3.64855217933655,123.835273742676,105.293060302734,1.5714408159256,103.785369873047,18.0913314819336,12.4710865020752,20.432409286499,33.0280532836914,2.15172600746155,0,33.9222640991211,"3"
"211","1996_4_3538_45",-1.3967,46.2988,1996,9,"NURSE",0.00882,"Merlangius merlangus",0,0,-6.66666650772095,"4",3.52983069419861,135.281219482422,105.640266418457,1.61215722560883,104.208152770996,18.9412441253662,13.5897150039673,21.6368656158447,32.2937698364258,1.98616707324982,0,33.1907386779785,"3"
"22","1996_4_3536_43",-1.3618,46.312,1996,9,"NURSE",0.006678,"Merlangius merlangus",0,0,-5.2122220993042,"4",3.31174325942993,127.4970703125,105.29573059082,1.55325734615326,103.923812866211,18.9156017303467,13.413613319397,21.5973320007324,32.5228424072266,1.89611160755157,0,33.4234733581543,"3"
"23","1996_4_3520_27",-1.4857,46.2808,1996,9,"NURSE",0.006099,"Merlangius merlangus",0,0,-27.4571762084961,"6",3.69140315055847,133.464599609375,105.603294372559,1.63881659507751,104.046775817871,18.5456771850586,13.1167039871216,21.0700073242188,32.580207824707,2.12457990646362,0,33.4817276000977,"3"
"24","1996_4_3522_29",-1.4502,46.2647,1996,9,"NURSE",0.005814,"Merlangius merlangus",0,0,-20.3533325195312,"6",3.71966361999512,138.26513671875,105.794059753418,1.65493774414062,104.269645690918,18.7562847137451,13.4412670135498,21.3732089996338,32.3224449157715,2.10040211677551,0,33.2198600769043,"3"
"25","1996_4_3542_49",-1.3747,46.2658,1996,9,"NURSE",0.006267,"Merlangius merlangus",0,0,-8.73888874053955,"4",3.31174325942993,127.4970703125,105.29573059082,1.55325734615326,103.923812866211,18.9156017303467,13.413613319397,21.5973320007324,32.5228424072266,1.89611160755157,0,33.4234733581543,"3"
"26","1996_4_3523_30",-1.4168,46.253,1996,9,"NURSE",0.005766,"Merlangius merlangus",1,1.73430454387791,-14.1900005340576,"6",3.74791812896729,143.065383911133,105.984809875488,1.67105710506439,104.492500305176,18.9668865203857,13.7658166885376,21.676399230957,32.0646934509277,2.07622265815735,0,32.9580039978027,"3"
"27","1996_4_3524_31",-1.3807,46.2487,1996,9,"NURSE",0.006225,"Merlangius merlangus",1,1.60642570281125,-14.7547225952148,"6",3.52983069419861,135.281219482422,105.640266418457,1.61215722560883,104.208152770996,18.9412441253662,13.5897150039673,21.6368656158447,32.2937698364258,1.98616707324982,0,33.1907386779785,"3"
